Year Week,destination_state,Index YOY Change-Booking-Hotel
"May 11, 2020 to May 17, 2020 (Week 20)",Connecticut,-1.026821133
"May 11, 2020 to May 17, 2020 (Week 20)",Alaska,-1.073652582
"May 11, 2020 to May 17, 2020 (Week 20)",Florida,-0.60621996
"May 11, 2020 to May 17, 2020 (Week 20)",Colorado,-0.848391562
"May 11, 2020 to May 17, 2020 (Week 20)",Alabama,-0.604688291
"May 11, 2020 to May 17, 2020 (Week 20)",Arkansas,-0.910959731
"May 11, 2020 to May 17, 2020 (Week 20)",Arizona,-0.583877443
"May 11, 2020 to May 17, 2020 (Week 20)",California,-0.753161213
"May 11, 2020 to May 17, 2020 (Week 20)",Georgia,-0.693192128
"May 18, 2020 to May 24, 2020 (Week 21)",Delaware,-0.832723873
"May 18, 2020 to May 24, 2020 (Week 21)",Alabama,-0.5104589
"May 18, 2020 to May 24, 2020 (Week 21)",Florida,-0.506898493
"May 18, 2020 to May 24, 2020 (Week 21)",Connecticut,-0.978889821
"May 18, 2020 to May 24, 2020 (Week 21)",Colorado,-0.79573347
"May 18, 2020 to May 24, 2020 (Week 21)",Georgia,-0.609996214
"May 18, 2020 to May 24, 2020 (Week 21)",Alaska,-0.952924185
"May 18, 2020 to May 24, 2020 (Week 21)",Arizona,-0.428906294
"May 18, 2020 to May 24, 2020 (Week 21)",Arkansas,-0.817729002
"May 18, 2020 to May 24, 2020 (Week 21)",California,-0.713604846
"May 25, 2020 to May 31, 2020 (Week 22)",Georgia,-0.577843649
"May 25, 2020 to May 31, 2020 (Week 22)",Arizona,-0.421038219
"May 25, 2020 to May 31, 2020 (Week 22)",Delaware,-0.647078392
"May 25, 2020 to May 31, 2020 (Week 22)",Florida,-0.491587987
"May 25, 2020 to May 31, 2020 (Week 22)",Arkansas,-0.745116587
"May 25, 2020 to May 31, 2020 (Week 22)",Colorado,-0.733249211
"May 25, 2020 to May 31, 2020 (Week 22)",California,-0.699713485
"May 25, 2020 to May 31, 2020 (Week 22)",Alabama,-0.423958396
"May 25, 2020 to May 31, 2020 (Week 22)",Alaska,-0.83834219
"May 25, 2020 to May 31, 2020 (Week 22)",Connecticut,-0.977340565
"Jun 1, 2020 to Jun 7, 2020 (Week 23)",Alaska,-0.906375106
"Jun 1, 2020 to Jun 7, 2020 (Week 23)",Delaware,-0.463147384
"Jun 1, 2020 to Jun 7, 2020 (Week 23)",Georgia,-0.516596977
"Jun 1, 2020 to Jun 7, 2020 (Week 23)",Alabama,-0.437178831
"Jun 1, 2020 to Jun 7, 2020 (Week 23)",Florida,-0.465045184
"Jun 1, 2020 to Jun 7, 2020 (Week 23)",Arizona,-0.406315399
"Jun 1, 2020 to Jun 7, 2020 (Week 23)",California,-0.677479015
"Jun 1, 2020 to Jun 7, 2020 (Week 23)",Connecticut,-0.836240359
"Jun 1, 2020 to Jun 7, 2020 (Week 23)",Colorado,-0.675406728
"Jun 1, 2020 to Jun 7, 2020 (Week 23)",Arkansas,-0.679630797
"Jun 8, 2020 to Jun 14, 2020 (Week 24)",Delaware,-0.303755271
"Jun 8, 2020 to Jun 14, 2020 (Week 24)",Alabama,-0.277068883
"Jun 8, 2020 to Jun 14, 2020 (Week 24)",Arkansas,-0.497614038
"Jun 8, 2020 to Jun 14, 2020 (Week 24)",California,-0.526849828
"Jun 8, 2020 to Jun 14, 2020 (Week 24)",Connecticut,-0.734507897
"Jun 8, 2020 to Jun 14, 2020 (Week 24)",Alaska,-0.801198068
"Jun 8, 2020 to Jun 14, 2020 (Week 24)",Florida,-0.324011949
"Jun 8, 2020 to Jun 14, 2020 (Week 24)",Colorado,-0.525778972
"Jun 8, 2020 to Jun 14, 2020 (Week 24)",Arizona,-0.256707593
"Jun 8, 2020 to Jun 14, 2020 (Week 24)",Georgia,-0.386108423
"Jun 15, 2020 to Jun 21, 2020 (Week 25)",Alaska,-0.838125418
"Jun 15, 2020 to Jun 21, 2020 (Week 25)",Delaware,-0.40146317
"Jun 15, 2020 to Jun 21, 2020 (Week 25)",Georgia,-0.564202264
"Jun 15, 2020 to Jun 21, 2020 (Week 25)",California,-0.619540182
"Jun 15, 2020 to Jun 21, 2020 (Week 25)",Colorado,-0.689144876
"Jun 15, 2020 to Jun 21, 2020 (Week 25)",Florida,-0.532796514
"Jun 15, 2020 to Jun 21, 2020 (Week 25)",Arkansas,-0.661660108
"Jun 15, 2020 to Jun 21, 2020 (Week 25)",Connecticut,-0.784682893
"Jun 15, 2020 to Jun 21, 2020 (Week 25)",Alabama,-0.454285812
"Jun 15, 2020 to Jun 21, 2020 (Week 25)",Arizona,-0.512090073
"Jun 22, 2020 to Jun 28, 2020 (Week 26)",Delaware,-0.297590218
"Jun 22, 2020 to Jun 28, 2020 (Week 26)",Colorado,-0.650103123
"Jun 22, 2020 to Jun 28, 2020 (Week 26)",Alaska,-0.83032439
"Jun 22, 2020 to Jun 28, 2020 (Week 26)",Arkansas,-0.654339273
"Jun 22, 2020 to Jun 28, 2020 (Week 26)",Florida,-0.542539493
"Jun 22, 2020 to Jun 28, 2020 (Week 26)",Arizona,-0.53385225
"Jun 22, 2020 to Jun 28, 2020 (Week 26)",Connecticut,-0.750184174
"Jun 22, 2020 to Jun 28, 2020 (Week 26)",California,-0.606459813
"Jun 22, 2020 to Jun 28, 2020 (Week 26)",Georgia,-0.550496258
"Jun 22, 2020 to Jun 28, 2020 (Week 26)",Alabama,-0.447701056
"Jun 29, 2020 to Jul 5, 2020 (Week 27)",Delaware,-0.530416275
"Jun 29, 2020 to Jul 5, 2020 (Week 27)",Connecticut,-0.746563694
"Jun 29, 2020 to Jul 5, 2020 (Week 27)",Alaska,-0.861353069
"Jun 29, 2020 to Jul 5, 2020 (Week 27)",Florida,-0.517961322
"Jun 29, 2020 to Jul 5, 2020 (Week 27)",Arizona,-0.518994103
"Jun 29, 2020 to Jul 5, 2020 (Week 27)",Arkansas,-0.682257208
"Jun 29, 2020 to Jul 5, 2020 (Week 27)",Georgia,-0.51261498
"Jun 29, 2020 to Jul 5, 2020 (Week 27)",Colorado,-0.564507265
"Jun 29, 2020 to Jul 5, 2020 (Week 27)",Alabama,-0.440286771
"Jun 29, 2020 to Jul 5, 2020 (Week 27)",California,-0.603009681
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Iowa,-0.010682843
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Maryland,-0.003300572
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Illinois,-0.005379576
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Indiana,-0.010761923
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Louisiana,-0.006834853
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Maine,-0.006629314
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Kentucky,-0.004243078
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Hawaii,0.005228858
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Kansas,-0.009510677
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Idaho,0.005824107
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Kentucky,0.071676306
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Kansas,0.045156909
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Illinois,0.064747335
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Hawaii,0.003043588
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Louisiana,-0.040028571
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Maryland,0.085080927
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Idaho,0.144348176
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Indiana,0.052959518
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Maine,0.020388327
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Iowa,0.059805226
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Indiana,0.026738676
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Louisiana,0.028209698
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Iowa,0.003238633
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Idaho,0.043790507
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Maine,-0.067545073
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Illinois,0.059307879
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Maryland,-0.018023869
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Kansas,0.024183468
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Kentucky,0.033964602
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Hawaii,-0.031893145
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Kansas,-0.01040067
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Idaho,0.044524223
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Kentucky,0.061542779
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Indiana,0.020215723
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Illinois,0.012513712
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Iowa,-0.018243058
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Maine,-0.134421551
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Louisiana,-0.007569853
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Hawaii,-0.082625641
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Maryland,-0.022671758
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Illinois,0.056369651
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Indiana,0.084810325
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Hawaii,-0.057208038
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Kentucky,0.141332142
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Iowa,0.049307591
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Maryland,0.01905726
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Maine,-0.013506321
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Idaho,0.171656673
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Kansas,0.029902023
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Louisiana,0.018009808
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",Illinois,0.069360673
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",Indiana,0.061341633
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",Maryland,0.068242049
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",Idaho,0.137735706
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",Hawaii,0.088110624
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",Iowa,0.034096655
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",Maine,-0.099764285
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",Louisiana,0.014575608
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",Kansas,0.028272417
