Year Week,destination_state,Index YOY Change-Search-Hotel
"Mar 16, 2020 to Mar 22, 2020 (Week 12)",Illinois,-0.907046875
"Mar 16, 2020 to Mar 22, 2020 (Week 12)",Kentucky,-0.737068928
"Mar 16, 2020 to Mar 22, 2020 (Week 12)",Kansas,-0.818507913
"Mar 16, 2020 to Mar 22, 2020 (Week 12)",Louisiana,-0.905349009
"Mar 16, 2020 to Mar 22, 2020 (Week 12)",Indiana,-0.856959599
"Mar 16, 2020 to Mar 22, 2020 (Week 12)",Maine,-1.00404999
"Mar 16, 2020 to Mar 22, 2020 (Week 12)",Hawaii,-0.630860962
"Mar 16, 2020 to Mar 22, 2020 (Week 12)",Iowa,-0.925559095
"Mar 23, 2020 to Mar 29, 2020 (Week 13)",Maine,-1.07589306
"Mar 23, 2020 to Mar 29, 2020 (Week 13)",Idaho,-0.911328091
"Mar 23, 2020 to Mar 29, 2020 (Week 13)",Kansas,-0.880236658
"Mar 23, 2020 to Mar 29, 2020 (Week 13)",Hawaii,-0.71515393
"Mar 23, 2020 to Mar 29, 2020 (Week 13)",Iowa,-0.983350871
"Mar 23, 2020 to Mar 29, 2020 (Week 13)",Louisiana,-0.956668652
"Mar 23, 2020 to Mar 29, 2020 (Week 13)",Kentucky,-0.797509832
"Mar 23, 2020 to Mar 29, 2020 (Week 13)",Maryland,-0.952684442
"Mar 23, 2020 to Mar 29, 2020 (Week 13)",Illinois,-0.975886039
"Mar 23, 2020 to Mar 29, 2020 (Week 13)",Indiana,-0.909925915
"Mar 30, 2020 to Apr 5, 2020 (Week 14)",Maryland,-0.940348588
"Mar 30, 2020 to Apr 5, 2020 (Week 14)",Idaho,-0.925780948
"Mar 30, 2020 to Apr 5, 2020 (Week 14)",Illinois,-0.972294525
"Mar 30, 2020 to Apr 5, 2020 (Week 14)",Maine,-1.07353153
"Mar 30, 2020 to Apr 5, 2020 (Week 14)",Kentucky,-0.767742196
"Mar 30, 2020 to Apr 5, 2020 (Week 14)",Louisiana,-0.962817676
"Mar 30, 2020 to Apr 5, 2020 (Week 14)",Iowa,-0.981478959
"Mar 30, 2020 to Apr 5, 2020 (Week 14)",Hawaii,-0.731600684
"Mar 30, 2020 to Apr 5, 2020 (Week 14)",Kansas,-0.878211488
"Mar 30, 2020 to Apr 5, 2020 (Week 14)",Indiana,-0.91304213
